epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8433757424354553,0.5075318217277527,0.9077634215354919,0.796112060546875,0.9359223246574402,0.20882323384284973,0.9505347609519958,0.9203883409500122
1,0.9254652857780457,0.23237191140651703,0.9417827725410461,0.909157931804657,0.9501618146896362,0.15953108668327332,0.9573770761489868,0.9449838399887085
2,0.9368896484375,0.19129888713359833,0.9482417106628418,0.9266629815101624,0.9527508020401001,0.14432469010353088,0.9605262875556946,0.9449838399887085
3,0.9449051022529602,0.16777974367141724,0.9535908699035645,0.9370738863945007,0.9527508020401001,0.15457524359226227,0.9599211812019348,0.9456310868263245
4,0.9493274092674255,0.1464621126651764,0.9565665125846863,0.9414961934089661,0.9521035552024841,0.14091168344020844,0.9606814980506897,0.9488673210144043
5,0.9514464735984802,0.1427336484193802,0.9585438966751099,0.9437074065208435,0.9579287767410278,0.13228140771389008,0.9602864384651184,0.954692542552948
6,0.9547632336616516,0.13359613716602325,0.960361897945404,0.9486824870109558,0.9566342830657959,0.13520564138889313,0.9607843160629272,0.9514563083648682
7,0.9564216136932373,0.1261519342660904,0.9610800743103027,0.9509857892990112,0.9572815299034119,0.13638079166412354,0.9614882469177246,0.9533980488777161
8,0.95863276720047,0.12230130285024643,0.9631040692329407,0.9547632336616516,0.9598705768585205,0.13459670543670654,0.9628422260284424,0.9559870362281799
9,0.9573429226875305,0.12279479205608368,0.9629698395729065,0.9535654783248901,0.9559870362281799,0.13763892650604248,0.9589309096336365,0.9521035552024841
10,0.9597383737564087,0.11851967126131058,0.9640067219734192,0.9549474716186523,0.9579287767410278,0.1456035077571869,0.9614882469177246,0.9533980488777161
